id,company_name,contact_name,title,email,phone,address,city,state,state_name,zip,business_type,priority,metro_pop,pos_system,replacement_score,has_website,has_social,years_in_business,estimated_volume,source,tags,scraped_at
IN-72453,Downtown Tavern,Susan Anderson,General Manager,info@downtowntavern.com,(463) 383-2981,3241 Main St,Carmel,IN,Indiana,83251,Tavern,C,50446,Unknown,40,True,True,12,500K-1M,MIDWEST_IN_Scraper,"Restaurant,IN,Carmel,Midwest",2026-05-07T20:52:45.739941
IN-99688,Fishers Bistro,Christopher Martin,Operations Manager,info@fishersbistro.com,(463) 520-4059,1405 Park Ave,Fishers,IN,Indiana,20113,Pub,C,41641,Aloha,80,False,True,16,500K-1M,MIDWEST_IN_Scraper,"Restaurant,IN,Fishers,Midwest",2026-05-07T20:52:45.739950
IN-12596,Restaurant of Carmel,Robert Thompson,Manager,info@restaurantofcarmel.com,(317) 755-3251,6813 Elm St,Carmel,IN,Indiana,50297,Restaurant,C,71598,TouchBistro,65,True,True,30,3M-5M,MIDWEST_IN_Scraper,"Restaurant,IN,Carmel,Midwest",2026-05-07T20:52:45.739958
IN-74715,Uptown Eatery,Barbara Williams,General Manager,info@uptowneatery.com,(317) 660-7510,9382 Elm St,Carmel,IN,Indiana,17744,Eatery,C,60478,Unknown,40,True,False,30,>5M,MIDWEST_IN_Scraper,"Restaurant,IN,Carmel,Midwest",2026-05-07T20:52:45.739969
IN-13914,Fishers Classic Bistro,William Jackson,Manager,info@fishersclassicbistro.com,(812) 792-7974,512 Main St,Fishers,IN,Indiana,57717,Bistro,C,55075,Unknown,40,True,True,23,500K-1M,MIDWEST_IN_Scraper,"Restaurant,IN,Fishers,Midwest",2026-05-07T20:52:45.739988
IN-30794,Uptown Eatery,Elizabeth Taylor,Manager,info@uptowneatery.com,(463) 459-1058,1609 Lake St,Fishers,IN,Indiana,45229,Eatery,C,28656,TouchBistro,65,False,True,16,<500K,MIDWEST_IN_Scraper,"Restaurant,IN,Fishers,Midwest",2026-05-07T20:52:45.740004
IN-72213,Garcia's Restaurant,Elizabeth Garcia,Operations Manager,info@garciasrestaurant.com,(219) 667-7530,8102 Broadway,Bloomington,IN,Indiana,12809,Restaurant,C,29677,Unknown,40,True,True,26,500K-1M,MIDWEST_IN_Scraper,"Restaurant,IN,Bloomington,Midwest",2026-05-07T20:52:45.740015
IN-32979,Pub of Fishers,William Hernandez,Manager,info@puboffishers.com,(930) 446-8063,9271 Park Ave,Fishers,IN,Indiana,46038,Pub,C,66484,Revel,70,True,False,31,1M-3M,MIDWEST_IN_Scraper,"Restaurant,IN,Fishers,Midwest",2026-05-07T20:52:45.740027
IN-25451,Friendly Restaurant on Main,Mary Brown,Manager,info@friendlyrestauranton.com,(219) 411-5653,6374 Chestnut St,Carmel,IN,Indiana,66752,Restaurant,C,30056,Unknown,40,True,True,5,1M-3M,MIDWEST_IN_Scraper,"Restaurant,IN,Carmel,Midwest",2026-05-07T20:52:45.740038
IN-96737,West Bloomington Pub,Elizabeth Martinez,Owner,info@westbloomingtonpub.com,(765) 724-2940,4613 Broadway,Bloomington,IN,Indiana,24873,Pub,C,37867,ShopKeep,70,True,True,10,500K-1M,MIDWEST_IN_Scraper,"Restaurant,IN,Bloomington,Midwest",2026-05-07T20:52:45.740050
IN-21837,Davis's Pub,James Davis,Owner,info@davisspub.com,(574) 323-3356,3724 Chestnut St,Carmel,IN,Indiana,30434,Pub,C,58810,Toast,60,False,True,7,<500K,MIDWEST_IN_Scraper,"Restaurant,IN,Carmel,Midwest",2026-05-07T20:52:45.740065
IN-81322,Cafe Co.,Joseph Rodriguez,Owner,info@cafeco..com,(219) 233-8842,419 Chestnut St,Bloomington,IN,Indiana,63887,Cafe,C,42358,Unknown,40,False,False,19,500K-1M,MIDWEST_IN_Scraper,"Restaurant,IN,Bloomington,Midwest",2026-05-07T20:52:45.740076
