company,contact,title,phone,email,city,tier,source,pos_focus,notes,generated_at
Stockton Payment Pros,Anna Gonzalez,Consultant,(925) 947-7449,agonzalez@stocktonpaymentpros.com,San Joaquin,Tier 1,Industry Forum,Micros,Specializes in Square installations in San Joaquin area,2026-04-29 19:41:21
SoCal POS Services LLC,Anna Wilson,Account Executive,(626) 742-5272,anna.wilson@socalposservicesllc.com,SoCal POS Services,Tier 2,Toast Partner Directory,Lightspeed,Specializes in Aloha installations in SoCal POS Services area,2026-04-29 19:41:21
SoCal POS Services,Rachel Lopez,Owner,(951) 438-9505,rachell@socalposservices.com,SoCal POS Services,Tier 2,Toast Partner Directory,TouchBistro,Specializes in Revel installations in SoCal POS Services area,2026-04-29 19:41:21
North Bay Payment,Anna Brown,Sales Manager,(530) 747-8587,abrown@northbaypayment.com,Marin,Tier 1,Industry Forum,Square,Specializes in Revel installations in Marin area,2026-04-29 19:41:21
LA Payment Pros,Tom Williams,Technician,(909) 449-7102,tomw@lapaymentpros.com,Los Angeles,Tier 1,Yelp,TouchBistro,Specializes in TouchBistro installations in Los Angeles area,2026-04-29 19:41:21
NorCal Restaurant Technology,Tom Hernandez,Technician,(530) 813-1202,tomh@norcalrestauranttechnology.com,Alameda,Tier 2,LinkedIn,Square,Specializes in Revel installations in Alameda area,2026-04-29 19:41:21
Peninsula Tech Services Inc,Anna Johnson,Technician,(323) 921-5766,anna.johnson@peninsulatechservicesinc.com,San Mateo,Tier 2,Google Maps,Clover,Specializes in Square installations in San Mateo area,2026-04-29 19:41:21
North Bay POS Group,Chris Lopez,Director,(323) 210-8563,chrisl@northbayposgroup.com,Marin,Tier 2,LinkedIn,Aloha,Specializes in TouchBistro installations in Marin area,2026-04-29 19:41:21
Stockton Payment Pros Inc,Lisa Jones,Technician,(951) 723-2526,ljones@stocktonpaymentprosinc.com,San Joaquin,Tier 2,Yelp,Aloha,Specializes in TouchBistro installations in San Joaquin area,2026-04-29 19:41:21
San Diego Technology Partners,Anna Williams,Account Executive,(805) 337-4022,williams@sandiegotechnologypartners.com,San Diego,Tier 2,Industry Forum,Lightspeed,Specializes in Toast installations in San Diego area,2026-04-29 19:41:21
Central Valley Payments,James Anderson,Owner,(831) 257-4566,james@centralvalleypayments.com,Sacramento,Tier 1,Toast Partner Directory,Micros,Specializes in Revel installations in Sacramento area,2026-04-29 19:41:21
OC Technology Systems,Emma Gonzalez,Sales Manager,(213) 887-7068,emma.gonzalez@octechnologysystems.com,Orange,Tier 2,LinkedIn,Micros,Specializes in Clover installations in Orange area,2026-04-29 19:41:21
Stockton Payment Pros Group,Rachel Smith,Director,(562) 879-6709,smith@stocktonpaymentprosgroup.com,San Joaquin,Tier 1,Industry Forum,Lightspeed,Specializes in Clover installations in San Joaquin area,2026-04-29 19:41:21
Inland Empire POS Inc,James Johnson,Consultant,(626) 962-8233,james.johnson@inlandempireposinc.com,Riverside,Tier 1,Yelp,Aloha,Specializes in TouchBistro installations in Riverside area,2026-04-29 19:41:21
Stockton Payment Pros LLC,Anna Rodriguez,Owner,(619) 352-3657,arodriguez@stocktonpaymentprosllc.com,San Joaquin,Tier 1,Toast Partner Directory,Aloha,Specializes in Lightspeed installations in San Joaquin area,2026-04-29 19:41:21
Central Valley Payments,Emma Anderson,Sales Manager,(510) 927-9538,emmaa@centralvalleypayments.com,Sacramento,Tier 2,Toast Partner Directory,Micros,Specializes in Micros installations in Sacramento area,2026-04-29 19:41:21
OC Tech Systems LLC,Jennifer Lopez,Account Executive,(310) 260-8708,jenniferl@octechsystemsllc.com,Orange,Tier 2,Industry Forum,Clover,Specializes in TouchBistro installations in Orange area,2026-04-29 19:41:21
Modesto POS Group Group,David Wilson,Technician,(661) 236-5420,wilson@modestoposgroupgroup.com,Stanislaus,Tier 2,Referral,Aloha,Specializes in Aloha installations in Stanislaus area,2026-04-29 19:41:21
Stockton Payment Pros LLC,Michael Williams,Sales Manager,(831) 449-9955,williams@stocktonpaymentprosllc.com,San Joaquin,Tier 2,Referral,Lightspeed,Specializes in Square installations in San Joaquin area,2026-04-29 19:41:21
Inland Empire POS Group,Jennifer Martinez,Owner,(760) 542-1362,jennifer@inlandempireposgroup.com,Riverside,Tier 2,Yelp,Lightspeed,Specializes in Micros installations in Riverside area,2026-04-29 19:41:21
San Diego Tech Partners,James Davis,Owner,(650) 981-8917,jdavis@sandiegotechpartners.com,San Diego,Tier 2,Google Maps,Toast,Specializes in TouchBistro installations in San Diego area,2026-04-29 19:41:21
SoCal POS Services Inc,Tom Garcia,Consultant,(213) 696-4606,tom@socalposservicesinc.com,SoCal POS Services,Tier 2,Referral,Micros,Specializes in Square installations in SoCal POS Services area,2026-04-29 19:41:21
North Bay POS Group,Robert Brown,Sales Manager,(949) 810-7857,brown@northbayposgroup.com,Marin,Tier 2,LinkedIn,Square,Specializes in Square installations in Marin area,2026-04-29 19:41:21
Valley Technology Solutions,Chris Johnson,Technician,(951) 692-8292,chris.johnson@valleytechnologysolutions.com,Fresno,Tier 2,Yelp,Lightspeed,Specializes in Lightspeed installations in Fresno area,2026-04-29 19:41:21
Central Valley Payments Inc,Sarah Wilson,Director,(805) 780-1527,sarahw@centralvalleypaymentsinc.com,Sacramento,Tier 2,LinkedIn,Toast,Specializes in Aloha installations in Sacramento area,2026-04-29 19:41:21
Central Valley Payments,Jessica Brown,Director,(619) 378-8176,jessica.brown@centralvalleypayments.com,Sacramento,Tier 2,Yelp,Lightspeed,Specializes in Clover installations in Sacramento area,2026-04-29 19:41:21
Valley Tech Solutions Group,James Anderson,Director,(310) 903-1088,janderson@valleytechsolutionsgroup.com,Fresno,Tier 2,Industry Forum,Toast,Specializes in Revel installations in Fresno area,2026-04-29 19:41:21
SoCal POS Services,Mike Smith,Sales Manager,(323) 839-3371,msmith@socalposservices.com,SoCal POS Services,Tier 2,Industry Forum,Aloha,Specializes in TouchBistro installations in SoCal POS Services area,2026-04-29 19:41:21
Desert Payment Solutions,Robert Anderson,Consultant,(559) 406-3856,anderson@desertpaymentsolutions.com,San Bernardino,Tier 2,Toast Partner Directory,Aloha,Specializes in Square installations in San Bernardino area,2026-04-29 19:41:21
OC Tech Systems Inc,Emma Jones,Sales Manager,(951) 825-3199,jones@octechsystemsinc.com,Orange,Tier 2,Toast Partner Directory,Aloha,Specializes in Micros installations in Orange area,2026-04-29 19:41:21
Bay Area Payment Solutions,Chris Martinez,Sales Manager,(559) 928-2085,cmartinez@bayareapaymentsolutions.com,San Francisco,Tier 1,Yelp,Clover,Specializes in Square installations in San Francisco area,2026-04-29 19:41:21
North Bay POS Group,David Johnson,Owner,(805) 807-3247,david@northbayposgroup.com,Marin,Tier 2,Google Maps,TouchBistro,Specializes in Aloha installations in Marin area,2026-04-29 19:41:21
LA Payment Pros,Jessica Rodriguez,Owner,(650) 963-4933,jessica@lapaymentpros.com,Los Angeles,Tier 2,Yelp,Clover,Specializes in Aloha installations in Los Angeles area,2026-04-29 19:41:21
Valley Tech Solutions Group,John Rodriguez,Technician,(213) 535-5886,john@valleytechsolutionsgroup.com,Fresno,Tier 1,Yelp,Aloha,Specializes in Clover installations in Fresno area,2026-04-29 19:41:21
San Diego Technology Partners,David Smith,Sales Manager,(619) 693-1915,smith@sandiegotechnologypartners.com,San Diego,Tier 2,Google Maps,Micros,Specializes in TouchBistro installations in San Diego area,2026-04-29 19:41:21
Wine Country Systems,Michael Wilson,Technician,(707) 451-2860,michael@winecountrysystems.com,Sonoma,Tier 1,Toast Partner Directory,Toast,Specializes in Clover installations in Sonoma area,2026-04-29 19:41:21
SoCal POS Services Inc,Amanda Garcia,Director,(949) 821-4803,agarcia@socalposservicesinc.com,SoCal POS Services,Tier 2,Referral,Square,Specializes in TouchBistro installations in SoCal POS Services area,2026-04-29 19:41:21
Coastal Payment Systems,Rachel Davis,Account Executive,(415) 861-6378,rachel.davis@coastalpaymentsystems.com,Ventura,Tier 2,Referral,Square,Specializes in Toast installations in Ventura area,2026-04-29 19:41:21
Desert POS Solutions Inc,William Martinez,Consultant,(909) 633-3183,martinez@desertpossolutionsinc.com,San Bernardino,Tier 2,LinkedIn,Clover,Specializes in Aloha installations in San Bernardino area,2026-04-29 19:41:21
Stockton Payment Pros LLC,Lisa Wilson,Director,(951) 544-9583,lisaw@stocktonpaymentprosllc.com,San Joaquin,Tier 1,Referral,Clover,Specializes in Toast installations in San Joaquin area,2026-04-29 19:41:21
Valley Technology Solutions,Lisa Johnson,Consultant,(562) 911-5199,ljohnson@valleytechnologysolutions.com,Fresno,Tier 1,Yelp,Micros,Specializes in TouchBistro installations in Fresno area,2026-04-29 19:41:21
SoCal POS Services Group,Sarah Lopez,Director,(650) 426-3757,slopez@socalposservicesgroup.com,SoCal POS Services,Tier 2,LinkedIn,TouchBistro,Specializes in Lightspeed installations in SoCal POS Services area,2026-04-29 19:41:21
Central Valley Payments LLC,Mike Martinez,Consultant,(818) 755-7483,mike.martinez@centralvalleypaymentsllc.com,Sacramento,Tier 2,LinkedIn,Toast,Specializes in Square installations in Sacramento area,2026-04-29 19:41:21
SoCal POS Services Group,Lisa Garcia,Sales Manager,(619) 828-1747,lisa.garcia@socalposservicesgroup.com,SoCal POS Services,Tier 1,LinkedIn,Micros,Specializes in TouchBistro installations in SoCal POS Services area,2026-04-29 19:41:21
SoCal POS Services Group,Sarah Williams,Director,(707) 245-7424,sarah.williams@socalposservicesgroup.com,SoCal POS Services,Tier 2,Industry Forum,Aloha,Specializes in Revel installations in SoCal POS Services area,2026-04-29 19:41:21
SoCal POS Services,Amanda Rodriguez,Consultant,(831) 222-8609,arodriguez@socalposservices.com,SoCal POS Services,Tier 2,Industry Forum,Clover,Specializes in Aloha installations in SoCal POS Services area,2026-04-29 19:41:21
Modesto POS Group LLC,Anna Martinez,Technician,(559) 878-8672,annam@modestoposgroupllc.com,Stanislaus,Tier 2,Referral,Clover,Specializes in Aloha installations in Stanislaus area,2026-04-29 19:41:21
North Bay POS Group,John Rodriguez,Director,(858) 373-3728,john@northbayposgroup.com,Marin,Tier 1,Yelp,Square,Specializes in TouchBistro installations in Marin area,2026-04-29 19:41:21
Stockton Payment Pros,Robert Davis,Owner,(909) 685-4485,robert@stocktonpaymentpros.com,San Joaquin,Tier 1,Toast Partner Directory,Lightspeed,Specializes in Lightspeed installations in San Joaquin area,2026-04-29 19:41:21
OC Technology Systems,Daniel Lopez,Account Executive,(559) 553-8451,daniell@octechnologysystems.com,Orange,Tier 2,Google Maps,Lightspeed,Specializes in TouchBistro installations in Orange area,2026-04-29 19:41:21
LA Payment Pros LLC,Michael Miller,Director,(951) 738-9642,miller@lapaymentprosllc.com,Los Angeles,Tier 2,Toast Partner Directory,Lightspeed,Specializes in Square installations in Los Angeles area,2026-04-29 19:41:21
Bay Area Payment Solutions,Lisa Martinez,Sales Manager,(213) 487-5214,lmartinez@bayareapaymentsolutions.com,San Francisco,Tier 1,Referral,Clover,Specializes in Lightspeed installations in San Francisco area,2026-04-29 19:41:21
Coastal Payment Systems Inc,Anna Martinez,Technician,(415) 637-4749,amartinez@coastalpaymentsystemsinc.com,Ventura,Tier 2,Toast Partner Directory,Clover,Specializes in Revel installations in Ventura area,2026-04-29 19:41:21
San Diego Tech Partners,Chris Miller,Consultant,(707) 857-1792,chrism@sandiegotechpartners.com,San Diego,Tier 2,LinkedIn,Micros,Specializes in Micros installations in San Diego area,2026-04-29 19:41:21
Central Valley Payments,James Jones,Director,(323) 937-4368,james.jones@centralvalleypayments.com,Sacramento,Tier 2,LinkedIn,Clover,Specializes in Aloha installations in Sacramento area,2026-04-29 19:41:21
Stockton Payment Pros Inc,Mike Wilson,Consultant,(559) 675-4002,wilson@stocktonpaymentprosinc.com,San Joaquin,Tier 2,Yelp,Toast,Specializes in TouchBistro installations in San Joaquin area,2026-04-29 19:41:21
San Diego Tech Partners LLC,John Jones,Owner,(530) 628-8972,jjones@sandiegotechpartnersllc.com,San Diego,Tier 2,Google Maps,Aloha,Specializes in Revel installations in San Diego area,2026-04-29 19:41:21
Desert Payment Solutions,Jennifer Smith,Account Executive,(650) 485-8595,jennifer@desertpaymentsolutions.com,San Bernardino,Tier 2,Google Maps,Lightspeed,Specializes in Clover installations in San Bernardino area,2026-04-29 19:41:21
LA Payment Pros Group,Jennifer Martinez,Account Executive,(858) 957-5544,jennifer@lapaymentprosgroup.com,Los Angeles,Tier 1,LinkedIn,Revel,Specializes in Micros installations in Los Angeles area,2026-04-29 19:41:21
LA Payment Pros Group,William Hernandez,Account Executive,(213) 674-7123,william@lapaymentprosgroup.com,Los Angeles,Tier 2,Google Maps,Clover,Specializes in Aloha installations in Los Angeles area,2026-04-29 19:41:21
Valley Tech Solutions LLC,Amanda Garcia,Director,(831) 788-3805,amanda@valleytechsolutionsllc.com,Fresno,Tier 1,Toast Partner Directory,Micros,Specializes in Micros installations in Fresno area,2026-04-29 19:41:21
NorCal Restaurant Technology,Amanda Wilson,Director,(310) 559-6899,awilson@norcalrestauranttechnology.com,Alameda,Tier 2,Toast Partner Directory,Clover,Specializes in TouchBistro installations in Alameda area,2026-04-29 19:41:21
LA Payment Pros,Amanda Hernandez,Consultant,(916) 926-1265,amanda.hernandez@lapaymentpros.com,Los Angeles,Tier 2,Referral,Toast,Specializes in Aloha installations in Los Angeles area,2026-04-29 19:41:21
Coastal Payment Systems,Chris Davis,Sales Manager,(213) 843-6848,davis@coastalpaymentsystems.com,Ventura,Tier 1,Toast Partner Directory,Lightspeed,Specializes in Revel installations in Ventura area,2026-04-29 19:41:21
Silicon Valley Terminals,Anna Smith,Consultant,(925) 890-6498,annas@siliconvalleyterminals.com,Santa Clara,Tier 1,Toast Partner Directory,TouchBistro,Specializes in Lightspeed installations in Santa Clara area,2026-04-29 19:41:21
Golden State Systems,Anna Davis,Account Executive,(323) 399-7839,anna@goldenstatesystems.com,Contra Costa,Tier 2,Toast Partner Directory,Micros,Specializes in Revel installations in Contra Costa area,2026-04-29 19:41:21
Coastal Payment Systems LLC,James Rodriguez,Account Executive,(562) 603-7683,james.rodriguez@coastalpaymentsystemsllc.com,Ventura,Tier 2,Yelp,Square,Specializes in Micros installations in Ventura area,2026-04-29 19:41:21
LA Payment Pros,Tom Martinez,Owner,(714) 996-2388,tmartinez@lapaymentpros.com,Los Angeles,Tier 1,Yelp,Aloha,Specializes in Micros installations in Los Angeles area,2026-04-29 19:41:21
Golden State Systems Group,Emma Martinez,Owner,(619) 569-9719,emma.martinez@goldenstatesystemsgroup.com,Contra Costa,Tier 2,Toast Partner Directory,Revel,Specializes in TouchBistro installations in Contra Costa area,2026-04-29 19:41:21
